epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56896,3.10253,8.14216,1.94877,0.00066,0.28571,0.00094,0.00035,2.24905,4.44913,1.79988,0.00027151,0.00027151,0.00027151
2,4.813,1.88092,4.54082,1.28662,0.00137,0.56085,0.11023,0.06604,1.69604,3.69954,1.17164,0.000553632,0.000553632,0.000553632
3,7.05614,1.61689,3.43542,1.16944,1,0.26329,0.62881,0.4089,1.30973,3.00141,1.03102,0.000831981,0.000831981,0.000831981
4,9.26487,1.50995,3.18208,1.12679,0.99575,0.43252,0.79714,0.56003,1.06049,2.38145,1.02233,0.00110656,0.00110656,0.00110656
5,11.4392,1.39152,2.47311,1.0822,0.91127,0.55317,0.81304,0.47498,1.20649,2.3231,1.03472,0.00137736,0.00137736,0.00137736
6,13.6149,1.34603,2.5262,1.08814,0.67001,0.78307,0.80079,0.56003,1.03576,1.48652,0.98339,0.00138184,0.00138184,0.00138184
7,15.8096,1.40088,2.23622,1.06844,0.8676,0.75607,0.84077,0.53544,1.15881,1.30575,0.97972,0.00137241,0.00137241,0.00137241
8,18.0666,1.37882,2.17361,1.09395,0.66404,0.69022,0.81304,0.57624,1.07433,1.31228,1.03055,0.00136298,0.00136298,0.00136298
9,20.2706,1.33728,2.21493,1.07251,0.95997,0.78627,0.88609,0.65169,1.05111,1.0475,0.97378,0.00135355,0.00135355,0.00135355
10,22.4516,1.27269,1.76723,1.04599,0.81838,0.74346,0.79876,0.59441,0.94439,1.00673,0.95511,0.00134412,0.00134412,0.00134412
11,24.5966,1.23616,1.69312,1.00846,0.98299,0.8445,0.87073,0.63718,0.97142,0.97683,0.94068,0.00133469,0.00133469,0.00133469
12,26.747,1.14363,1.53281,1.0048,0.8226,0.73417,0.84291,0.60015,0.93817,0.90554,0.93582,0.00132525,0.00132525,0.00132525
13,28.9167,1.13777,1.39571,1.00039,0.86231,0.76354,0.86167,0.63244,0.97777,0.97151,0.96835,0.00131582,0.00131582,0.00131582
14,31.055,1.1911,1.45502,1.02042,0.91566,0.82505,0.90186,0.61266,1.15082,0.77876,0.99144,0.00130639,0.00130639,0.00130639
15,33.2222,1.22075,1.39687,1.0259,0.89878,0.78638,0.87549,0.61624,1.0769,0.93657,0.97313,0.00129696,0.00129696,0.00129696
